driverId,constructorId,gridPosition,finalPosition,q1,q2,q3,constructorPosition
4,117,6,9,90000.0,89000.0,89000.0,5
4,214,8,9,92000.0,91000.0,92000.0,5
4,6,5,6,96000.0,96000.0,95000.0,3
4,6,5,7,95000.0,95000.0,95000.0,3
4,6,5,2,86000.0,85000.0,85000.0,2
4,6,5,4,85000.0,85000.0,84000.0,3
4,1,9,7,105000.0,104000.0,104000.0,6
4,1,2,1,91000.0,90000.0,91000.0,11
4,4,7,8,95000.0,95000.0,98000.0,5
4,6,4,3,99000.0,97000.0,97000.0,2
4,6,5,3,87000.0,86000.0,85000.0,3
4,214,6,6,107000.0,105000.0,104000.0,5
4,1,6,4,80000.0,79000.0,79000.0,11
4,1,4,3,87000.0,86000.0,87000.0,11
4,6,7,6,77000.0,76000.0,75000.0,3
4,6,4,5,70000.0,69000.0,69000.0,3
4,6,4,4,118000.0,121000.0,120000.0,3
4,4,7,6,86000.0,86000.0,88000.0,7
4,1,1,1,81000.0,81000.0,81000.0,11
4,214,3,3,82000.0,81000.0,81000.0,5
4,6,3,4,95000.0,95000.0,94000.0,2
4,6,4,2,81000.0,81000.0,80000.0,2
4,6,7,6,88000.0,87000.0,87000.0,3
4,6,5,4,77000.0,77000.0,76000.0,3
4,6,7,5,78000.0,77000.0,77000.0,4
4,4,5,11,75000.0,74000.0,76000.0,6
4,117,5,2,81000.0,79000.0,71000.0,3
4,6,6,5,98000.0,97000.0,97000.0,3
4,6,5,6,98000.0,97000.0,98000.0,2
4,6,3,4,85000.0,84000.0,84000.0,1
4,6,5,4,106000.0,106000.0,105000.0,4
4,1,2,3,81000.0,80000.0,81000.0,11
4,6,8,11,85000.0,84000.0,85000.0,3
4,6,5,4,91000.0,102000.0,105000.0,3
4,117,8,7,73000.0,73000.0,73000.0,3
4,4,1,2,91000.0,90000.0,89000.0,1
4,4,1,1,75000.0,75000.0,74000.0,1
4,6,3,3,76000.0,75000.0,75000.0,3
4,6,4,8,98000.0,98000.0,98000.0,3
4,117,7,15,92000.0,91000.0,91000.0,4
4,117,10,8,90000.0,90000.0,90000.0,4
